position COMBINED_rate(cM/Mb) Genetic_Map(cM)
9887804 0.6247366105 0
9928594 0.6231151531 0.0254830063
9928786 0.4976528486 0.0256026445
9928860 0.4965798052 0.0256394708
9929079 0.4953800875 0.0257482217
9935844 0.4422176830 0.0290994680
9938787 0.4231906694 0.0304009147
9941889 0.4233025543 0.0317136521
9941912 0.4234745693 0.0317233881
9947160 0.4235201568 0.0339457826
9952825 0.4228200938 0.0363450243
9954639 0.4105639588 0.0371120200
9956144 0.4103653968 0.0377299187
9958101 0.3929208557 0.0385330038
9961495 0.3926848463 0.0398665772
9965957 0.3893053967 0.0416187370
9972502 0.3876889824 0.0441667408
9975330 0.3869638499 0.0452631252
9978594 0.3117448340 0.0465261752
9981677 0.2789617388 0.0474872846
9986010 0.2689490810 0.0486960258
9988696 0.2659230188 0.0494184230
9989638 0.2641768732 0.0496689225
9993437 0.2641002218 0.0506725304
9993822 0.2631826016 0.0507742090
9994116 0.2630881923 0.0508515847
9995200 0.2626881764 0.0511367723
10000969 0.2623317024 0.0526522204
10011786 0.2629913549 0.0554898624
10016358 0.3051474410 0.0566922589
10018800 0.3314033713 0.0574374289
10019412 0.7566308986 0.0576402478
10022975 5.2831631741 0.0603361237
10049175 5.2640688377 0.1987549989
10052297 5.7422905071 0.2151894218
10057638 5.4292631165 0.2458589954
10059009 5.3853817733 0.2533025151
10062905 5.3788558942 0.2742839625
10064384 1.4473912453 0.2822392904
10070890 1.4331783411 0.2916560178
10072031 1.4332934496 0.2932912743
10074053 1.4336862128 0.2961893936
10076796 2.2758994687 0.3001219949
10084771 2.2809245318 0.3182722932
10085980 2.4979907001 0.3210299310
10086993 2.7857338768 0.3235603955
10099727 2.7633359258 0.3590339307
10105718 2.7474343021 0.3755890763
10112470 1.3250999555 0.3941397527
10113114 1.2976316164 0.3949931170
10115233 1.2787131314 0.3977427984
10115691 1.2602329877 0.3983284490
10116093 1.3284769576 0.3988350627
10134771 1.9573597162 0.4236483553
10135307 2.5912066734 0.4246975001
10163868 2.5682353700 0.4987049539
10168058 2.5649470259 0.5094658601
10170286 2.5566785802 0.5151805621
10189119 2.5516477727 0.5633304898
10202117 2.5560659659 0.5964968075
10202679 2.5392863547 0.5979333166
10204892 1.7052229270 0.6035527573
10205701 1.5681108402 0.6049322827
10205854 1.4331971107 0.6051722036
10206070 1.0144366477 0.6054817742
10207652 -1 0.6070866130
13277239 -1 0.6070866130
13282761 -1 0.6070866130
13284914 1.2236529551 0.6070866130
13299297 1.4718452975 0.6246864134
13302245 1.4079285350 0.6290254134
13302542 1.4171676732 0.6294435681
13304376 1.3450652129 0.6320426537
13330453 1.3405295048 0.6671179192
13336743 1.3345045052 0.6755498498
13346024 1.3397513087 0.6879353861
